"PKPostId","SymbolFK","score"
"gvxt5nn","amzn","1.31394533987386"
"gvxtb93","amzn","1.30790006752194"
"gvxtdft","amzn","1.31394533987386"
"gvxtll5","ocgn","1.68421052631579"
"gvxtll5","ocgn","1.61290322580645"
"gvxu08l","amzn","1.302734375"
"gvxu0i2","xm","0.877777777777778"
"gvxu0i2","xm","0.852272727272727"
"gvxu0i2","xm","-0.131313131313131"
"gvxubm9","ocgn","1.68421052631579"
"gvxubm9","ocgn","1.61290322580645"
"gvxutbs","ubs","-0.88230117698823"
"gvxuu2t","xm","0.514018691588785"
"gvxuu2t","xm","0.5"
"gvxuu2t","xm","-0.0802919708029197"
"gvxuu2t","xm","-0.0355329949238579"
"gvxuu2t","xm","-0.004739336492891"
"gvxv9e1","ocgn","1.62962962962963"
"gvxv9e1","ocgn","1.51351351351351"
"gvxvbdk","twtr","1.45054945054945"
"gvxvetl","amzn","1.30790006752194"
"gvxvnny","ubs","-0.88230117698823"
"gvxvtt7","amzn","1.30790006752194"
"gvxwhgu","ubs","-0.878521889900303"
"gvxwq1j","ubs","-0.878521889900303"
"gvxwtyf","twtr","1.48275862068966"
"gvxxews","twtr","0.52755905511811"
"gvxxlux","amzn","1.30208333333333"
"gvxxm1w","amzn","1.30338541666667"
"gvxxvxs","twtr","1.45054945054945"
"gvxxw0b","ubs","-0.88230117698823"
"gvxxx3q","ubs","-0.88230117698823"
"gvxy0hk","amzn","1.29962311557789"
"gvxydi6","amzn","1.31394533987386"
"gvxyndh","amzn","1.30338541666667"
"gvy0bs6","xm","0.877777777777778"
"gvy0bs6","xm","0.852272727272727"
"gvy0bs6","xm","-0.131313131313131"
"gvy0ix8","ubs","-0.88230117698823"
"gvy0pwn","amzn","1.298828125"
"gvy0sfw","ocgn","1.68421052631579"
"gvy0sfw","ocgn","1.61290322580645"
"gvy0sxr","amc","-0.545454545454545"
"gvy0tng","sumo","0"
"gvy0x62","sumo","-3"
"gvy0x62","sumo","-3"
"gvy0yp4","ocgn","1.62962962962963"
"gvy0yp4","ocgn","2"
"gvy0yra","sumo","-1.33333333333333"
"gvy0yra","sumo","2"
"gvy1ijx","amzn","1.31394533987386"
"gvy1t1z","ubs","-0.88230117698823"
"gvy1ynb","amzn","1.30790006752194"
"gvy2i4q","ocgn","1.62962962962963"
"gvy2i4q","ocgn","1.51351351351351"
"gvy2k4b","amzn","1.30790006752194"
"gvy2u4g","twtr","1.45054945054945"
"gvy3b1k","ocgn","1.63888888888889"
"gvy3b1k","ocgn","1.02380952380952"
"gvy49dj","sumo","-0.6"
"gvy4m8j","twtr","1.04310344827586"
"gvy4nnn","sumo","-3"
"gvy4nnn","sumo","-3"
"gvy4oht","twtr","1.45054945054945"
"gvy52ip","mvis","0"
"gvy52ip","mvis","0.666666666666667"
"gvy52ip","mvis","1.28571428571429"
"gvy747m","amzn","1.30338541666667"
"gvy7egy","xm","0.877777777777778"
"gvy7egy","xm","0.852272727272727"
"gvy7egy","xm","-0.131313131313131"
"gvy7x54","xm","1.01492537313433"
"gvy7x54","xm","0.984615384615385"
"gvy7zzf","twtr","0.769230769230769"
"gvy8h0r","twtr","1.45054945054945"
"gvy8h0r","ocgn","1.45054945054945"
"gvy8lbh","twtr","1.45054945054945"
"gvy8lbh","cvac","1.45054945054945"
"gvy8lbh","cvac","1.45054945054945"
"gvy8v4c","gme","0.0995475113122172"
"gvy9z5z","twtr","1.45054945054945"
"gvyb5hh","ubs","-0.878521889900303"
"gvybtpl","sndl","-1"
"gvyc7q9","apha","0.683544303797468"
"gvyc7q9","tlry","0.683544303797468"
"gvyc7q9","apha","0.675324675324675"
"gvyc7q9","tlry","0.666666666666667"
"gvyc7q9","apha","0.603174603174603"
"gvyc7q9","tlry","0.825396825396825"
"gvyc7q9","tlry","0.986666666666667"
"gvyc7q9","apha","1.01298701298701"
"gvyc7q9","tlry","1.0379746835443"
"gvyc7q9","apha","1.06172839506173"
"gvycmdf","apha","0.693181818181818"
"gvycmdf","tlry","0.693181818181818"
"gvycmdf","apha","0.686046511627907"
"gvycmdf","tlry","0.678571428571429"
"gvycmdf","apha","0.625"
"gvycmdf","tlry","0.772727272727273"
"gvycmdf","tlry","0.869047619047619"
"gvycmdf","apha","0.875"
"gvycmdf","tlry","0.880434782608696"
"gvycmdf","apha","0.885416666666667"
"gvycnjr","ubs","-0.88230117698823"
"gvycslj","twtr","1.45054945054945"
